,GAME_ID,HALFTIME_HOME_FG,HALFTIME_HOME_FG_MISSES,HALFTIME_HOME_FG_PCT,HALFTIME_HOME_REBOUNDS,HALFTIME_VISITING_FG,HALFTIME_VISITING_FG_PCT,HALFTIME_VISITING_MISSES,HALFTIME_VISITING_REBOUNDS
684,21500685,40,55,0.421052631579,48,35,0.421686746988,48,53
685,21500686,37,52,0.415730337079,51,38,0.469135802469,43,38
686,21500687,33,46,0.417721518987,49,33,0.388235294118,52,46
687,21500688,48,40,0.545454545455,35,48,0.527472527473,43,47
688,21500689,50,40,0.555555555556,49,27,0.375,45,40
689,21500690,38,41,0.481012658228,45,22,0.338461538462,43,35
690,21500691,42,34,0.552631578947,40,43,0.5,43,34
691,21500692,37,40,0.480519480519,49,32,0.390243902439,50,32
692,21500693,39,49,0.443181818182,41,38,0.487179487179,40,39
693,21500694,36,48,0.428571428571,50,38,0.436781609195,49,40
694,21500695,36,42,0.461538461538,37,29,0.367088607595,50,46
695,21500696,40,55,0.421052631579,47,40,0.449438202247,49,40
696,21500697,29,53,0.353658536585,41,45,0.483870967742,48,51
697,21500698,43,43,0.5,46,31,0.397435897436,47,41
698,21500699,40,44,0.47619047619,39,34,0.435897435897,44,47
699,21500700,35,48,0.421686746988,49,33,0.397590361446,50,47
700,21500701,41,45,0.476744186047,57,36,0.378947368421,59,40
701,21500702,32,43,0.426666666667,49,27,0.350649350649,50,44
702,21500703,37,42,0.46835443038,40,36,0.493150684932,37,34
703,21500704,39,36,0.52,40,34,0.459459459459,40,38
704,21500705,44,47,0.483516483516,51,30,0.379746835443,49,47
705,21500706,38,41,0.481012658228,38,33,0.428571428571,44,48
706,21500707,40,50,0.444444444444,40,45,0.483870967742,48,57
707,21500708,32,42,0.432432432432,45,37,0.435294117647,48,39
708,21500709,42,56,0.428571428571,49,40,0.459770114943,47,45
709,21500710,40,50,0.444444444444,48,39,0.469879518072,44,44
710,21500711,40,45,0.470588235294,37,44,0.517647058824,41,45
711,21500712,38,38,0.5,32,37,0.406593406593,54,51
712,21500713,41,37,0.525641025641,43,38,0.481012658228,41,32
713,21500714,42,39,0.518518518519,46,38,0.417582417582,53,42
714,21500715,38,42,0.475,47,27,0.385714285714,43,31
715,21500716,40,38,0.512820512821,50,38,0.413043478261,54,41
716,21500717,29,47,0.381578947368,42,25,0.347222222222,47,44
717,21500718,30,57,0.344827586207,41,42,0.575342465753,31,44
718,21500719,29,44,0.397260273973,37,33,0.423076923077,45,49
